,_tid_,Zipcode,City,State,Name,SSN,Gender,Relationship
0,0,61820,champaign,il,wu,7063,female,husband
1,1,61821,urbana,il,liu,7099,male,husband
2,2,61820,urbana,il,liu,7063,female,own-child
3,3,61820,champaign,illinois,luwei,6066,male,not-in-family
4,4,61802,urbana,illinois,howie,5408,male,not-in-family
5,5,61803,champaign,illinois,howard,3444,male,wife
6,6,61803,champaign,illinois,penny,4029,female,wife
7,7,61802,guangzhou,illinois,bob,4089,male,not-in-family
8,8,51000,guangzhou,guangdong,wu,6000,female,wife
9,9,51000,guangzhou,guangdong,ping,4023,female,not-in-family
10,10,51000,guangzhou,california,dong,3049,male,wife
11,11,51000,guangzhou,guangdong,peter,2333,male,husband
