Zipcode,City,State,Name,SSN,Gender,Relationship
61820,Champaign,IL,,7063,female,husband
61821,Champaign,IL,Liu,7099,male,husband
61820,Champaign,IL,Liu,7063,female,Own-Child
61820,Champaign,Illinois,Luwei,6066,male,Not-in-family
61802,Urbana,Illinois,Howie,5408,male,Not-in-family
61803,Urbana,Illinois,Howard,3444,male,wife
61803,Urbana,Illinois,Penny,4029,female,wife
61802,Guangzhou,Illinois,Bob,4089,male,Not-in-family
51000,Guangzhou,Guangdong,Wu,6000,female,wife
51000,Guangzhou,Guangdong,Ping,4023,female,Not-in-family
51000,Guangzhou,California,Dong,3049,male,wife
51000,Guangzhou,Guangdong,Peter,2333,male,husband
